Item Name,Item Variation,SKU,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax
Custom Amount,No description,"",Uncategorized,4,$18.96,0,$0.00,$0.00,$18.96,$1.32
Arjana Smoothie,Regular Price,"",Blended Drinks (Cold),4,$16.00,0,$0.00,$-0.27,$15.73,$0.82
Cloud '15,Regular (16 oz),"",Blended Drinks (Cold),6,$19.50,0,$0.00,$-2.42,$17.08,$1.20
Frozen Turtle,Regular (16 oz),"",Blended Drinks (Cold),8,$26.00,0,$0.00,$-0.63,$25.37,$1.55
Fruit Smoothie,Regular,"",Blended Drinks (Cold),36,$144.00,0,$0.00,$-13.57,$130.43,$8.26
Java Junk,Regular Price,"",Blended Drinks (Cold),13,$65.00,0,$0.00,$-6.96,$58.04,$4.08
Javaccino,Regular (16 oz),"",Blended Drinks (Cold),7,$22.75,0,$0.00,$-1.26,$21.49,$1.49
Mint Oreo Milkshake,Regular Price,"",Blended Drinks (Cold),11,$49.50,0,$0.00,$-2.03,$47.47,$3.31
MoCoCo Freeze,Regular (16 oz),"",Blended Drinks (Cold),5,$16.25,0,$0.00,$-0.84,$15.41,$0.84
Oreo Milkshake,Large,"",Blended Drinks (Cold),20,$80.00,0,$0.00,$-8.42,$71.58,$4.42
Oreo Milkshake,Small,"",Blended Drinks (Cold),14,$49.00,0,$0.00,$-2.30,$46.70,$3.02
Pina Colada Smoothie,Regular,"",Blended Drinks (Cold),1,$4.50,0,$0.00,$0.00,$4.50,$0.32
Plain Milkshake,Large (16 oz),"",Blended Drinks (Cold),20,$80.00,0,$0.00,$-2.86,$77.14,$5.11
Plain Milkshake,Small (12 oz),"",Blended Drinks (Cold),12,$42.00,0,$0.00,$-1.15,$40.85,$2.84
Gatorade,Regular,"",Bottled Drink,12,$24.00,0,$0.00,$-0.91,$23.09,$1.47
Menno Tea,Regular,"",Bottled Drink,10,$20.00,0,$0.00,$-1.30,$18.70,$1.30
You Pick Two Combo (Baked Good and Small Hot Drink),Regular,"",Combo,33,$132.00,0,$0.00,$-7.72,$124.28,$8.10
Extra Oreo Cookie (1),Regular,"",Extras,1,$0.20,0,$0.00,$-0.01,$0.19,$0.01
Extra Shot of Espresso,Regular,"",Extras,5,$1.65,0,$0.00,$-0.10,$1.55,$0.10
